YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2010,1,ALBANIA,LA,8318.42,821,FALSE
2010,1,ARMENIA,UD,13456.676,662,FALSE
2010,1,AUSTRIA,LO,171535.234,14972,FALSE
2010,1,BELGIUM,EB,309092.823,11546,FALSE
2010,1,BOSNIA AND HERZEGOVINA,LQ,2887.9950000000003,478,FALSE
2010,1,BULGARIA,LB,34760.876000000004,2177,FALSE
2010,1,CANARY ISLANDS,GC,254688.439,13494,FALSE
2010,1,CROATIA,LD,12141.849,1956,FALSE
2010,1,CYPRUS,LC,47704.344,1789,FALSE
2010,1,CZECHIA,LK,68318.753,6256,FALSE
2010,1,DENMARK,EK,184601.73,12996,TRUE
2010,1,FINLAND,EF,160290.692,10592,FALSE
2010,1,FRANCE,LF,1467158.577,68257,FALSE
2010,1,GERMANY,ED,2067437.027,80421,FALSE
2010,1,GREECE,LG,142515.501,14377,FALSE
2010,1,HUNGARY,LH,48575.838,3851,FALSE
2010,1,ICELAND,BI,12064.188,1117,FALSE
2010,1,IRELAND,EI,150363.827,8920,FALSE
2010,1,ITALY,LI,899660.529,60178,FALSE
2010,1,KOSOVO,BK,7746.907,599,FALSE
2010,1,LIECHTENSTEIN,LS,0.34700000000000003,1,FALSE
2010,1,LITHUANIA,EY,12874.972,1414,FALSE
2010,1,LUXEMBOURG,EL,89324.883,1916,FALSE
2010,1,MALTA,LM,16447.512000000002,909,FALSE
2010,1,"MOLDOVA, REPUBLIC OF",LU,4626.296,448,FALSE
2010,1,MONACO,LN,6.215,14,FALSE
2010,1,MONTENEGRO,LY,4208.656,577,FALSE
2010,1,NETHERLANDS,EH,718585.1900000001,18317,FALSE
2010,1,NORTH MACEDONIA,LW,3648.76,440,FALSE
2010,1,NORWAY,EN,192277.836,28332,TRUE
2010,1,POLAND,EP,107673.58,10530,FALSE
2010,1,PORTUGAL,LP,226468.511,10881,TRUE
2010,1,ROMANIA,LR,64663.55,6182,FALSE
2010,1,SERBIA,LY,14327.666000000001,1555,FALSE
2010,1,SLOVAKIA,LZ,9049.322,1291,FALSE
2010,1,SLOVENIA,LJ,7481.515,1308,FALSE
2010,1,SPAIN,LE,940913.456,52687,FALSE
2010,1,SWEDEN,ES,201565.851,18178,FALSE
2010,1,SWITZERLAND,LS,358901.792,19656,FALSE
2010,1,TÜRKIYE,LT,490284.613,25816,FALSE
2010,1,UNITED KINGDOM,EG,2367956.025,82530,TRUE
2010,2,ALBANIA,LA,6279.474,668,FALSE
2010,2,ARMENIA,UD,11213.872,558,FALSE
2010,2,AUSTRIA,LO,157908.074,14307,FALSE
2010,2,BELGIUM,EB,296550.797,11404,FALSE
2010,2,BOSNIA AND HERZEGOVINA,LQ,2482.9210000000003,451,FALSE
2010,2,BULGARIA,LB,27457.117,1964,FALSE
2010,2,CANARY ISLANDS,GC,227947.191,11951,FALSE
2010,2,CROATIA,LD,10904.556,1783,FALSE
2010,2,CYPRUS,LC,43851.886,1620,FALSE
2010,2,CZECHIA,LK,61726.203,5815,FALSE
2010,2,DENMARK,EK,176059.292,13106,TRUE
2010,2,FINLAND,EF,149032.862,11028,FALSE
2010,2,FRANCE,LF,1322141.955,65510,FALSE
2010,2,GERMANY,ED,1894780.332,80004,FALSE
2010,2,GREECE,LG,121075.499,12138,FALSE
2010,2,HUNGARY,LH,44322.036,3662,FALSE
2010,2,ICELAND,BI,10586.769,1183,FALSE
2010,2,IRELAND,EI,134731.068,8518,FALSE
2010,2,ITALY,LI,815751.944,57901,FALSE
2010,2,KOSOVO,BK,6320.104,518,FALSE
2010,2,LITHUANIA,EY,12228.327000000001,1389,FALSE
2010,2,LUXEMBOURG,EL,89562.606,1914,FALSE
2010,2,MALTA,LM,14674.217,823,FALSE
2010,2,"MOLDOVA, REPUBLIC OF",LU,3789.6310000000003,382,FALSE
2010,2,MONACO,LN,5.626,14,FALSE
2010,2,MONTENEGRO,LY,3385.183,523,FALSE
2010,2,NETHERLANDS,EH,652994.273,18106,FALSE
2010,2,NORTH MACEDONIA,LW,2521.933,349,FALSE
2010,2,NORWAY,EN,187177.792,27889,TRUE
2010,2,POLAND,EP,99531.672,10140,FALSE
2010,2,PORTUGAL,LP,201179.888,9971,TRUE
2010,2,ROMANIA,LR,59045.257,5854,FALSE
2010,2,SERBIA,LY,12615.653,1458,FALSE
2010,2,SLOVAKIA,LZ,8202.339,1191,FALSE
2010,2,SLOVENIA,LJ,6999.286,1231,FALSE
2010,2,SPAIN,LE,876956.531,52810,FALSE
2010,2,SWEDEN,ES,198829.319,20050,FALSE
2010,2,SWITZERLAND,LS,321563.617,18895,FALSE
2010,2,TÜRKIYE,LT,460389.996,23862,FALSE
2010,2,UNITED KINGDOM,EG,2205308.93,83403,TRUE
2010,3,ALBANIA,LA,7085.252,754,FALSE
2010,3,ARMENIA,UD,13872.043,694,FALSE
2010,3,AUSTRIA,LO,178533.13,16547,FALSE
2010,3,BELGIUM,EB,343344.38,13509,FALSE
2010,3,BOSNIA AND HERZEGOVINA,LQ,2950.4480000000003,522,FALSE
2010,3,BULGARIA,LB,30412.445,2201,FALSE
2010,3,CANARY ISLANDS,GC,257478.167,14235,FALSE
2010,3,CROATIA,LD,14382.412,2186,FALSE
2010,3,CYPRUS,LC,58812.401,2134,FALSE
2010,3,CZECHIA,LK,73533.375,7070,FALSE
2010,3,DENMARK,EK,200270.998,15481,TRUE
2010,3,FINLAND,EF,171467.106,12526,FALSE
2010,3,FRANCE,LF,1556602.471,82478,FALSE
2010,3,GERMANY,ED,2307261.059,98446,FALSE
2010,3,GREECE,LG,147184.607,14730,FALSE
2010,3,HUNGARY,LH,55853.239,4452,FALSE
2010,3,ICELAND,BI,10782.895,1244,FALSE
2010,3,IRELAND,EI,161997.299,9831,FALSE
2010,3,ITALY,LI,954000.917,68340,FALSE
2010,3,KOSOVO,BK,7123.5,593,FALSE
2010,3,LIECHTENSTEIN,LS,0.34700000000000003,1,FALSE
2010,3,LITHUANIA,EY,16018.592,1684,FALSE
2010,3,LUXEMBOURG,EL,100978.654,2279,FALSE
2010,3,MALTA,LM,19354.707000000002,1018,FALSE
2010,3,"MOLDOVA, REPUBLIC OF",LU,4337.759,431,FALSE
2010,3,MONACO,LN,11.685,29,FALSE
2010,3,MONTENEGRO,LY,3880.8160000000003,611,FALSE
2010,3,NETHERLANDS,EH,747928.705,22367,FALSE
2010,3,NORTH MACEDONIA,LW,3142.3880000000004,421,FALSE
2010,3,NORWAY,EN,211578.975,31034,TRUE
2010,3,POLAND,EP,122098.845,12035,FALSE
2010,3,PORTUGAL,LP,235014.076,11664,TRUE
2010,3,ROMANIA,LR,67186.995,6948,FALSE
2010,3,SERBIA,LY,14390.774000000001,1749,FALSE
2010,3,SLOVAKIA,LZ,8732.43,1365,FALSE
